School ID,School Name,School Year,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,ISS per 100 Students,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,OSS per 100 Students,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,Police Notifications per 100 Students,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification,# of Students Expelled,Expulsions per 100 Students
609772,ADDAMS,2011,31,7,24,0,29,93.5,10,32.3,1.08,10,1.1,2,19,61.3,2.05,16,1.7,2.26,4,12.9,0.43,4,0.4,0,0.0
609772,ADDAMS,2012,30,7,18,5,28,93.3,18,60,2.02,17,1.9,1.44,10,33.3,1.12,10,1.1,2.5,1,3.3,0.11,1,0.1,0,0.0
609772,ADDAMS,2013,12,1,9,2,10,83.3,6,50,0.69,6,0.7,2,4,33.3,0.46,4,0.5,1,0,0,0,0,0,0,0.0
609772,ADDAMS,2014,24,4,17,3,8,33.3,8,33.3,0.91,8,0.9,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0.0
609773,AGASSIZ,2011,54,24,25,5,51,94.4,35,64.8,8.16,23,5.4,1.14,16,29.6,3.73,9,2.1,2.63,0,0,0,0,0,0,0.0
609773,AGASSIZ,2012,77,28,38,11,57,74,25,32.5,5.52,18,4,1.16,32,41.6,7.07,16,3.5,2.72,2,2.6,0.44,1,0.2,0,0.0
609773,AGASSIZ,2013,63,17,45,1,42,66.7,23,36.5,4.82,17,3.6,1.09,19,30.2,3.98,13,2.7,1.47,1,1.6,0.21,1,0.2,0,0.0
609773,AGASSIZ,2014,54,16,35,3,24,44.4,13,24.1,2.6,13,2.6,1.31,11,20.4,2.2,8,1.6,1.18,1,1.9,0.2,1,0.2,0,0.0
610513,AIR FORCE HS,2011,439,141,288,10,106,24.1,52,11.8,17.61,38,12.9,1.02,54,12.3,18.29,36,12.2,3.27,5,1.1,1.69,5,1.7,1,0.34
610513,AIR FORCE HS,2012,768,323,413,32,289,37.6,219,28.5,56.96,123,32,1.01,70,9.1,18.21,44,11.4,3.5,28,3.6,7.28,23,6,0,0.0
610513,AIR FORCE HS,2013,228,77,120,31,154,67.5,27,11.8,7.6,22,6.2,1,127,55.7,35.74,83,23.4,2.39,9,3.9,2.53,9,2.5,0,0.0
610513,AIR FORCE HS,2014,1108,884,198,26,140,12.6,42,3.8,11.65,36,10,1,98,8.8,27.18,59,16.4,2.2,15,1.4,4.16,15,4.2,1,0.28
610212,ALBANY PARK,2011,6,1,5,0,6,100,3,50,1.13,3,1.1,1.33,3,50,1.13,2,0.8,5,0,0,0,0,0,0,0.0
610212,ALBANY PARK,2012,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
610212,ALBANY PARK,2013,38,21,12,5,10,26.3,1,2.6,0.35,1,0.4,1,9,23.7,3.19,7,2.5,2.22,6,15.8,2.13,4,1.4,0,0.0
610212,ALBANY PARK,2014,49,26,21,2,8,16.3,4,8.2,1.46,3,1.1,1,4,8.2,1.46,3,1.1,2,6,12.2,2.19,3,1.1,0,0.0
609774,ALCOTT ES,2011,11,0,11,0,10,90.9,4,36.4,0.84,4,0.8,1,6,54.5,1.27,6,1.3,1.67,0,0,0,0,0,0,0.0
609774,ALCOTT ES,2012,95,43,50,2,8,8.4,6,6.3,1.23,6,1.2,1.17,2,2.1,0.41,2,0.4,1,0,0,0,0,0,0,0.0
609774,ALCOTT ES,2013,36,31,3,2,8,22.2,6,16.7,1.17,6,1.2,1.17,2,5.6,0.39,2,0.4,2,1,2.8,0.19,1,0.2,0,0.0
609774,ALCOTT ES,2014,164,107,55,2,3,1.8,2,1.2,0.35,2,0.4,1,1,0.6,0.18,1,0.2,1,0,0,0,0,0,0,0.0
610524,ALCOTT HS,2011,356,289,58,9,353,99.2,239,67.1,104.88,95,41.7,1.06,114,32,50.02,56,24.6,2.79,4,1.1,1.76,4,1.8,1,0.44
610524,ALCOTT HS,2012,102,23,66,13,100,98,47,46.1,17.87,40,15.2,1.09,53,52,20.15,31,11.8,2.74,7,6.9,2.66,7,2.7,1,0.38
610524,ALCOTT HS,2013,81,37,28,16,60,74.1,20,24.7,7.34,19,7,1.2,40,49.4,14.67,28,10.3,3.43,1,1.2,0.37,1,0.4,0,0.0
610524,ALCOTT HS,2014,34,1,24,9,36,105.9,17,50,6.36,17,6.4,1.18,19,55.9,7.11,16,6,1.74,0,0,0,0,0,0,0.0
609848,ALDRIDGE,2011,171,4,165,2,171,100,2,1.2,0.72,2,0.7,3,169,98.8,60.52,67,24,3.34,2,1.2,0.72,2,0.7,0,0.0
609848,ALDRIDGE,2012,25,0,24,1,24,96,0,0,0,0,0,3,24,96,9.3,24,9.3,3.08,1,4,0.39,1,0.4,0,0.0
609848,ALDRIDGE,2013,106,19,73,14,77,72.6,5,4.7,2.04,5,2,1,72,67.9,29.32,35,14.3,2.6,6,5.7,2.44,4,1.6,0,0.0
609848,ALDRIDGE,2014,236,71,145,20,129,54.7,84,35.6,39.27,44,20.6,1.14,45,19.1,21.04,20,9.4,2.33,19,8.1,8.88,13,6.1,1,0.47
609775,ALTGELD,2011,288,5,237,46,260,90.3,2,0.7,0.38,2,0.4,1.5,258,89.6,49.4,124,23.7,2.88,26,9,4.98,13,2.5,0,0.0
609775,ALTGELD,2012,368,28,307,33,324,88,32,8.7,7.31,26,5.9,1.31,292,79.3,66.73,124,28.3,2.72,10,2.7,2.29,10,2.3,1,0.23
609780,AMES,2011,133,53,75,5,117,88,2,1.5,0.34,2,0.3,3,115,86.5,19.5,81,13.7,3.68,9,6.8,1.53,9,1.5,0,0.0
609780,AMES,2012,694,462,215,17,134,19.3,38,5.5,7.8,31,6.4,1.36,96,13.8,19.7,58,11.9,2.18,7,1,1.44,6,1.2,0,0.0
609780,AMES,2013,231,45,142,44,120,51.9,12,5.2,2.2,8,1.5,1.92,108,46.8,19.83,61,11.2,2.62,1,0.4,0.18,1,0.2,0,0.0
609695,AMUNDSEN HS,2011,191,17,118,56,182,95.3,0,0,0,0,0,0,182,95.3,12.17,132,8.8,4.41,88,46.1,5.88,65,4.3,1,0.07
609695,AMUNDSEN HS,2012,473,184,173,116,212,44.8,2,0.4,0.15,2,0.1,3,210,44.4,15.33,149,10.9,2.87,164,34.7,11.97,119,8.7,2,0.15
609695,AMUNDSEN HS,2013,265,54,129,82,169,63.8,74,27.9,6.22,57,4.8,1.32,95,35.8,7.99,66,5.6,2.53,105,39.6,8.83,80,6.7,0,0.0
609695,AMUNDSEN HS,2014,730,499,169,62,625,85.6,520,71.2,47.77,251,23.1,1.02,105,14.4,9.65,76,7,2.03,91,12.5,8.36,75,6.9,0,0.0
609951,ARIEL,2011,151,68,71,12,45,29.8,11,7.3,2.04,11,2,2.36,34,22.5,6.3,26,4.8,4.91,8,5.3,1.48,7,1.3,0,0.0
609951,ARIEL,2012,41,7,24,10,22,53.7,5,12.2,0.91,5,0.9,1.8,17,41.5,3.09,12,2.2,2.53,0,0,0,0,0,0,0.0
609951,ARIEL,2013,61,6,49,6,37,60.7,7,11.5,1.26,6,1.1,2,30,49.2,5.39,25,4.5,2.3,0,0,0,0,0,0,0.0
609951,ARIEL,2014,86,32,53,1,18,20.9,13,15.1,2.38,13,2.4,1.92,5,5.8,0.91,4,0.7,3,6,7,1.1,6,1.1,0,0.0
609777,ARMOUR,2011,28,4,21,3,28,100,23,82.1,6.33,20,5.5,1.39,5,17.9,1.38,5,1.4,3.4,1,3.6,0.28,1,0.3,0,0.0
609777,ARMOUR,2012,37,2,29,6,36,97.3,13,35.1,3.61,10,2.8,1.08,23,62.2,6.39,13,3.6,2.09,4,10.8,1.11,3,0.8,0,0.0
609777,ARMOUR,2013,9,0,9,0,7,77.8,5,55.6,1.54,3,0.9,1.5,2,22.2,0.62,2,0.6,2,0,0,0,0,0,0,0.0
609777,ARMOUR,2014,11,2,8,1,10,90.9,6,54.5,1.97,6,2,1.83,4,36.4,1.31,4,1.3,1,1,9.1,0.33,1,0.3,0,0.0
609779,"ARMSTRONG, G",2011,107,26,77,4,107,100,3,2.8,0.2,3,0.2,1,104,97.2,6.9,59,3.9,1.99,1,0.9,0.07,1,0.1,0,0.0
609779,"ARMSTRONG, G",2012,117,7,94,16,120,102.6,12,10.3,0.85,10,0.7,1.17,108,92.3,7.69,71,5.1,2.43,1,0.9,0.07,1,0.1,2,0.14
609779,"ARMSTRONG, G",2013,119,6,110,3,111,93.3,6,5,0.41,6,0.4,1,105,88.2,7.24,61,4.2,1.49,1,0.8,0.07,1,0.1,0,0.0
609779,"ARMSTRONG, G",2014,101,31,64,6,62,61.4,38,37.6,2.61,29,2,1.13,24,23.8,1.65,18,1.2,1.63,1,1,0.07,1,0.1,0,0.0
610156,"ARMSTRONG, L",2011,80,37,43,0,41,51.3,5,6.3,5.07,5,5.1,1,36,45,36.54,21,21.3,1.16,0,0,0,0,0,0,0.0
610156,"ARMSTRONG, L",2012,127,19,95,13,100,78.7,12,9.4,12.52,9,9.4,1.08,88,69.3,91.81,34,35.5,1.35,2,1.6,2.09,1,1,0,0.0
610287,ASHBURN,2011,94,40,51,3,74,78.7,51,54.3,10.43,44,9,1.9,23,24.5,4.7,21,4.3,2.39,0,0,0,0,0,0,0.0
610287,ASHBURN,2012,112,37,70,5,80,71.4,38,33.9,8.22,32,6.9,1.63,42,37.5,9.09,28,6.1,2.76,3,2.7,0.65,3,0.6,0,0.0
610287,ASHBURN,2013,116,37,75,4,33,28.4,13,11.2,2.73,11,2.3,1.15,20,17.2,4.2,18,3.8,1.9,2,1.7,0.42,2,0.4,0,0.0
610287,ASHBURN,2014,116,42,72,2,26,22.4,7,6,1.52,7,1.5,1.14,19,16.4,4.12,15,3.3,1.95,1,0.9,0.22,1,0.2,0,0.0
610268,ASHE,2011,246,30,176,40,198,80.5,2,0.8,0.46,2,0.5,1.5,196,79.7,44.75,102,23.3,3.33,8,3.3,1.83,7,1.6,0,0.0
610268,ASHE,2012,260,30,153,77,226,86.9,12,4.6,2.96,12,3,1.83,214,82.3,52.8,90,22.2,2.86,22,8.5,5.43,16,3.9,0,0.0
610268,ASHE,2013,117,7,81,29,88,75.2,1,0.9,0.26,1,0.3,1,87,74.4,22.29,55,14.1,3.57,7,6,1.79,6,1.5,1,0.26
610268,ASHE,2014,117,9,66,42,43,36.8,7,6,2,6,1.7,1.86,36,30.8,10.28,27,7.7,2.69,8,6.8,2.28,6,1.7,0,0.0
609781,ATTUCKS,2011,268,74,182,12,106,39.6,0,0,0,0,0,0,106,39.6,38.84,53,19.4,2.61,0,0,0,0,0,0,0.0
609781,ATTUCKS,2012,386,76,246,64,261,67.6,0,0,0,0,0,0,261,67.6,96.53,99,36.6,2.76,7,1.8,2.59,6,2.2,0,0.0
609781,ATTUCKS,2013,147,2,134,11,135,91.8,5,3.4,3.08,5,3.1,3,130,88.4,79.96,49,30.1,2.13,0,0,0,0,0,0,0.0
609781,ATTUCKS,2014,51,3,39,9,52,102,20,39.2,15.04,19,14.3,1.45,32,62.7,24.06,24,18,2.06,2,3.9,1.5,1,0.8,0,0.0
609782,AUDUBON,2011,4,1,3,0,4,100,1,25,0.18,1,0.2,1,3,75,0.53,3,0.5,1,0,0,0,0,0,0,0.0
609782,AUDUBON,2012,43,1,29,13,45,104.7,11,25.6,1.86,10,1.7,1.18,34,79.1,5.76,19,3.2,1.97,2,4.7,0.34,2,0.3,0,0.0
609782,AUDUBON,2013,26,3,22,1,24,92.3,11,42.3,1.87,11,1.9,1.09,13,50,2.22,10,1.7,1.46,0,0,0,0,0,0,0.0
609782,AUDUBON,2014,16,0,9,7,15,93.8,4,25,0.69,4,0.7,1.25,11,68.8,1.89,4,0.7,1.45,0,0,0,0,0,0,0.0
400018,AUSTIN BUS & ENTRP HS,2011,2371,2003,317,51,2184,92.1,1488,62.8,516.78,279,96.9,1.2,696,29.4,241.72,205,71.2,2.48,8,0.3,2.78,6,2.1,2,0.69
400018,AUSTIN BUS & ENTRP HS,2012,2389,1992,337,60,2128,89.1,1713,71.7,793.58,205,95,1.09,415,17.4,192.26,133,61.6,2.86,2,0.1,0.93,2,0.9,0,0.0
400018,AUSTIN BUS & ENTRP HS,2013,1868,1322,503,43,1624,86.9,1311,70.2,797.21,157,95.5,1.2,313,16.8,190.33,109,66.3,2.07,6,0.3,3.65,3,1.8,0,0.0
400018,AUSTIN BUS & ENTRP HS,2014,1064,898,129,37,507,47.7,425,39.9,314.71,102,75.5,1.17,82,7.7,60.72,50,37,2.26,6,0.6,4.44,5,3.7,0,0.0
610501,AUSTIN POLY HS,2011,855,336,478,41,726,84.9,5,0.6,2.16,5,2.2,1,721,84.3,310.78,196,84.5,2.43,13,1.5,5.6,10,4.3,0,0.0
610501,AUSTIN POLY HS,2012,551,342,180,29,491,89.1,216,39.2,134.86,97,60.6,1.06,275,49.9,171.7,93,58.1,2.07,0,0,0,0,0,0,0.0
610501,AUSTIN POLY HS,2013,596,317,224,55,524,87.9,329,55.2,189.63,98,56.5,1.25,195,32.7,112.39,75,43.2,2.53,0,0,0,0,0,0,0.0
610501,AUSTIN POLY HS,2014,834,374,438,22,598,71.7,516,61.9,385.19,113,84.4,1.13,82,9.8,61.21,55,41.1,2.11,6,0.7,4.48,6,4.5,0,0.0
609786,AVALON PARK,2011,316,44,238,34,225,71.2,2,0.6,0.53,2,0.5,1,223,70.6,58.73,105,27.7,2.68,0,0,0,0,0,0,0.0
609786,AVALON PARK,2012,144,7,110,27,117,81.3,7,4.9,2.36,7,2.4,1.86,110,76.4,37.09,59,19.9,2.78,15,10.4,5.06,11,3.7,5,1.69
609786,AVALON PARK,2013,23,0,21,2,21,91.3,1,4.3,0.34,1,0.3,3,20,87,6.78,18,6.1,3.05,1,4.3,0.34,1,0.3,2,0.68
609786,AVALON PARK,2014,54,13,40,1,18,33.3,3,5.6,0.92,3,0.9,1.67,15,27.8,4.58,10,3.1,1.6,9,16.7,2.75,8,2.4,0,0.0
610544,AZUELA,2011,69,22,44,3,34,49.3,17,24.6,1.93,15,1.7,1.06,17,24.6,1.93,11,1.2,1.94,0,0,0,0,0,0,0.0
610544,AZUELA,2012,52,6,39,7,35,67.3,13,25,1.39,12,1.3,1,22,42.3,2.36,18,1.9,2.77,2,3.8,0.21,2,0.2,0,0.0
610544,AZUELA,2013,88,1,81,6,44,50,6,6.8,0.64,6,0.6,1,38,43.2,4.03,30,3.2,1.32,2,2.3,0.21,2,0.2,0,0.0
610544,AZUELA,2014,22,1,12,9,13,59.1,3,13.6,0.31,3,0.3,1,10,45.5,1.04,9,0.9,3.2,0,0,0,0,0,0,0.0
610563,BACK OF THE YARDS HS,2013,11,1,4,6,11,100,5,45.5,1.8,5,1.8,2.4,6,54.5,2.16,6,2.2,3.33,1,9.1,0.36,1,0.4,0,0.0
610563,BACK OF THE YARDS HS,2014,25,2,7,16,24,96,3,12,0.55,3,0.6,1.33,21,84,3.86,19,3.5,3.33,7,28,1.29,7,1.3,0,0.0
610265,BANNEKER,2011,69,5,54,10,64,92.8,15,21.7,4.99,14,4.7,1.13,49,71,16.31,37,12.3,1.78,1,1.4,0.33,1,0.3,0,0.0
610265,BANNEKER,2012,80,6,66,8,60,75,17,21.3,5.02,15,4.4,1,43,53.8,12.69,26,7.7,1.91,9,11.3,2.66,7,2.1,0,0.0
610556,BANNER ACADEMY SOUTH HS,2011,12,9,2,1,9,75,2,16.7,1,2,1,1,7,58.3,3.51,7,3.5,2.38,1,8.3,0.5,1,0.5,0,0.0
610556,BANNER ACADEMY SOUTH HS,2012,4,0,4,0,4,100,0,0,0,0,0,0,4,100,1.97,4,2,2.5,0,0,0,0,0,0,0.0
610555,BANNER ACADEMY WEST HS,2011,62,42,11,9,25,40.3,7,11.3,5.16,7,5.2,2.71,18,29,13.27,17,12.5,3.5,1,1.6,0.74,1,0.7,0,0.0
610555,BANNER ACADEMY WEST HS,2012,393,297,80,16,65,16.5,0,0,0,0,0,0,65,16.5,41.41,55,35,3.86,4,1,2.55,3,1.9,0,0.0
610555,BANNER ACADEMY WEST HS,2013,155,119,34,2,23,14.8,1,0.6,0.36,1,0.4,2,22,14.2,8.01,21,7.6,3.32,0,0,0,0,0,0,0.0
610555,BANNER ACADEMY WEST HS,2014,94,84,10,0,1,1.1,0,0,0,0,0,0,1,1.1,0.36,1,0.4,3,0,0,0,0,0,0,0.0
610549,BANNER NORTH ES,2011,21,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
610549,BANNER NORTH ES,2012,7,1,5,1,7,100,0,0,0,0,0,0,7,100,65.04,5,46.5,2.14,1,14.3,9.29,1,9.3,0,0.0
610550,BANNER NORTH HS,2011,53,31,19,3,1,1.9,0,0,0,0,0,0,1,1.9,2.37,1,2.4,10,0,0,0,0,0,0,0.0
610550,BANNER NORTH HS,2012,44,29,12,3,17,38.6,0,0,0,0,0,0,17,38.6,55.5,12,39.2,2.06,0,0,0,0,0,0,0.0
609788,BARNARD,2011,46,4,35,7,42,91.3,3,6.5,1.12,1,0.4,3.67,39,84.8,14.52,24,8.9,1.92,2,4.3,0.74,1,0.4,0,0.0
609788,BARNARD,2012,93,50,43,0,28,30.1,4,4.3,1.5,3,1.1,1.75,24,25.8,9,9,3.4,1.25,0,0,0,0,0,0,0.0
609788,BARNARD,2013,141,33,98,10,65,46.1,30,21.3,10.27,16,5.5,1.2,35,24.8,11.99,11,3.8,1.51,0,0,0,0,0,0,0.0
609788,BARNARD,2014,37,0,30,7,29,78.4,16,43.2,5.29,11,3.6,1.88,13,35.1,4.29,8,2.6,2.08,1,2.7,0.33,1,0.3,0,0.0
609789,BARRY,2011,18,6,10,2,17,94.4,0,0,0,0,0,0,17,94.4,2.12,12,1.5,1.41,0,0,0,0,0,0,0.0
609789,BARRY,2012,45,5,38,2,40,88.9,15,33.3,1.83,15,1.8,1,25,55.6,3.05,22,2.7,1.28,1,2.2,0.12,1,0.1,0,0.0
609789,BARRY,2013,34,8,21,5,30,88.2,8,23.5,0.96,8,1,1.13,22,64.7,2.64,14,1.7,2.09,3,8.8,0.36,3,0.4,0,0.0
609789,BARRY,2014,30,19,10,1,2,6.7,1,3.3,0.12,1,0.1,2,1,3.3,0.12,1,0.1,5,1,3.3,0.12,1,0.1,0,0.0
609790,BARTON,2011,505,135,356,14,505,100,208,41.2,34.08,89,14.6,1.02,297,58.8,48.66,110,18,1.9,4,0.8,0.66,3,0.5,0,0.0
609790,BARTON,2012,639,95,515,29,638,99.8,45,7,7.06,36,5.6,1,593,92.8,93.03,189,29.6,1.63,2,0.3,0.31,2,0.3,0,0.0
609790,BARTON,2013,594,82,485,27,578,97.3,105,17.7,18.22,68,11.8,1.1,473,79.6,82.07,160,27.8,1.56,4,0.7,0.69,4,0.7,0,0.0
609790,BARTON,2014,349,66,208,75,201,57.6,27,7.7,4.98,23,4.2,1.3,174,49.9,32.09,84,15.5,2.15,22,6.3,4.06,18,3.3,1,0.18
609791,BASS,2011,85,4,67,14,84,98.8,1,1.2,0.28,1,0.3,1,83,97.6,23.11,58,16.1,2.61,8,9.4,2.23,4,1.1,1,0.28
609791,BASS,2012,193,30,106,57,184,95.3,30,15.5,9.24,25,7.7,1.47,154,79.8,47.46,86,26.5,3.03,10,5.2,3.08,9,2.8,1,0.31
609791,BASS,2013,810,531,267,12,301,37.2,50,6.2,8.93,45,8,1.62,251,31,44.85,117,20.9,2.43,3,0.4,0.54,3,0.5,1,0.18
609791,BASS,2014,542,354,151,37,124,22.9,50,9.2,9.78,45,8.8,1.74,74,13.7,14.47,45,8.8,2.77,2,0.4,0.39,2,0.4,1,0.2
609792,BATEMAN,2011,2,0,0,2,2,100,0,0,0,0,0,0,2,100,0.2,2,0.2,7.5,1,50,0.1,1,0.1,0,0.0
609792,BATEMAN,2012,52,27,22,3,13,25,7,13.5,0.68,6,0.6,2.43,6,11.5,0.58,4,0.4,3.67,1,1.9,0.1,1,0.1,0,0.0
609792,BATEMAN,2013,102,32,60,10,66,64.7,22,21.6,2.13,17,1.6,1.23,44,43.1,4.26,27,2.6,2.66,5,4.9,0.48,5,0.5,0,0.0
609792,BATEMAN,2014,170,88,69,13,46,27.1,15,8.8,1.48,14,1.4,1.87,31,18.2,3.07,26,2.6,2.48,1,0.6,0.1,1,0.1,0,0.0
610083,BEARD,2011,20,7,13,0,4,20,0,0,0,0,0,0,4,20,2.45,3,1.8,2.25,0,0,0,0,0,0,0.0
610083,BEARD,2012,6,4,2,0,1,16.7,0,0,0,0,0,0,1,16.7,0.59,1,0.6,1,0,0,0,0,0,0,0.0
610083,BEARD,2013,6,1,4,1,3,50,0,0,0,0,0,0,3,50,1.71,2,1.1,1.33,0,0,0,0,0,0,0.0
610246,BEASLEY,2011,237,72,149,16,226,95.4,56,23.6,4.06,50,3.6,1.16,170,71.7,12.33,117,8.5,2.29,2,0.8,0.15,2,0.1,0,0.0
610246,BEASLEY,2012,464,54,368,42,424,91.4,57,12.3,3.99,55,3.8,1.04,367,79.1,25.68,216,15.1,2.33,6,1.3,0.42,4,0.3,0,0.0
610246,BEASLEY,2013,168,68,90,10,60,35.7,7,4.2,0.51,7,0.5,1,53,31.5,3.85,37,2.7,2.68,3,1.8,0.22,3,0.2,0,0.0
610246,BEASLEY,2014,652,168,467,17,282,43.3,232,35.6,16.59,134,9.6,1.23,50,7.7,3.57,26,1.9,1.86,3,0.5,0.21,3,0.2,0,0.0
609796,BEAUBIEN,2011,103,11,90,2,92,89.3,10,9.7,0.86,8,0.7,1,82,79.6,7.08,47,4.1,1.44,0,0,0,0,0,0,0.0
609796,BEAUBIEN,2012,91,12,70,9,88,96.7,23,25.3,1.98,21,1.8,1.09,65,71.4,5.59,45,3.9,1.75,0,0,0,0,0,0,0.0
609796,BEAUBIEN,2013,143,14,115,14,133,93,33,23.1,2.85,22,1.9,1.18,100,69.9,8.63,53,4.6,1.78,4,2.8,0.35,4,0.3,0,0.0
609796,BEAUBIEN,2014,94,16,70,8,70,74.5,31,33,2.72,27,2.4,1.1,39,41.5,3.43,29,2.5,1.41,0,0,0,0,0,0,0.0
610237,BEETHOVEN,2011,67,11,49,7,56,83.6,0,0,0,0,0,0,56,83.6,13.75,39,9.6,1.86,7,10.4,1.72,6,1.5,1,0.25
610237,BEETHOVEN,2012,34,11,16,7,13,38.2,1,2.9,0.27,1,0.3,2,12,35.3,3.19,11,2.9,2.58,4,11.8,1.06,2,0.5,0,0.0
610237,BEETHOVEN,2013,100,27,63,10,49,49,8,8,1.95,8,2,1.63,41,41,10,25,6.1,2.22,3,3,0.73,3,0.7,0,0.0
610237,BEETHOVEN,2014,156,83,65,8,23,14.7,3,1.9,0.78,3,0.8,1,20,12.8,5.21,11,2.9,1.6,2,1.3,0.52,2,0.5,0,0.0
609797,BEIDLER,2011,102,38,57,7,99,97.1,16,15.7,4.01,13,3.3,1.69,83,81.4,20.79,48,12,2.39,4,3.9,1,3,0.8,1,0.25
609797,BEIDLER,2012,175,29,137,9,168,96,8,4.6,1.85,8,1.9,1.63,160,91.4,37.09,90,20.9,2.08,0,0,0,0,0,0,0.0
609797,BEIDLER,2013,63,12,43,8,44,69.8,0,0,0,0,0,0,44,69.8,9.51,38,8.2,2.52,2,3.2,0.43,1,0.2,0,0.0
609797,BEIDLER,2014,25,8,12,5,14,56,3,12,0.62,3,0.6,2.33,11,44,2.26,6,1.2,2.91,7,28,1.44,6,1.2,0,0.0
609798,BELDING,2011,143,20,120,3,111,77.6,21,14.7,3.14,15,2.2,1.1,90,62.9,13.45,41,6.1,1.88,0,0,0,0,0,0,0.0
609798,BELDING,2012,77,3,67,7,68,88.3,6,7.8,0.92,6,0.9,2,62,80.5,9.47,27,4.1,1.4,0,0,0,0,0,0,0.0
609798,BELDING,2013,124,16,100,8,95,76.6,8,6.5,1.33,8,1.3,1,87,70.2,14.44,41,6.8,1.7,1,0.8,0.17,1,0.2,0,0.0
609798,BELDING,2014,170,34,127,9,72,42.4,7,4.1,1.14,7,1.1,1.14,65,38.2,10.59,24,3.9,1.43,0,0,0,0,0,0,0.0
609799,BELL,2011,56,6,46,4,52,92.9,18,32.1,1.81,17,1.7,1,34,60.7,3.43,22,2.2,1.21,1,1.8,0.1,1,0.1,0,0.0
609799,BELL,2012,315,269,43,3,26,8.3,13,4.1,1.32,8,0.8,1,13,4.1,1.32,12,1.2,1.54,2,0.6,0.2,2,0.2,0,0.0
609799,BELL,2013,336,270,66,0,22,6.5,17,5.1,1.63,15,1.4,1,5,1.5,0.48,4,0.4,1.2,0,0,0,0,0,0,0.0
609799,BELL,2014,326,256,66,4,37,11.3,20,6.1,1.93,15,1.4,1.25,17,5.2,1.64,9,0.9,1.65,1,0.3,0.1,1,0.1,0,0.0
609922,BELMONT-CRAGIN,2011,23,4,15,4,8,34.8,4,17.4,0.64,4,0.6,1.25,4,17.4,0.64,1,0.2,2,0,0,0,0,0,0,0.0
609922,BELMONT-CRAGIN,2012,6,0,1,5,2,33.3,0,0,0,0,0,0,2,33.3,0.33,2,0.3,7.5,3,50,0.49,2,0.3,0,0.0
609922,BELMONT-CRAGIN,2013,5,0,2,3,1,20,0,0,0,0,0,0,1,20,0.17,1,0.2,1,0,0,0,0,0,0,0.0
609922,BELMONT-CRAGIN,2014,8,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
609800,BENNETT,2011,9,1,8,0,5,55.6,0,0,0,0,0,0,5,55.6,1.01,5,1,2.2,1,11.1,0.2,1,0.2,0,0.0
609800,BENNETT,2012,314,187,114,13,278,88.5,110,35,23.74,80,17.3,1.29,168,53.5,36.26,108,23.3,1.9,3,1,0.65,3,0.6,0,0.0
609800,BENNETT,2013,99,36,42,21,77,77.8,35,35.4,8.4,26,6.2,2.8,42,42.4,10.09,32,7.7,2.26,1,1,0.24,1,0.2,0,0.0
609800,BENNETT,2014,27,9,13,5,3,11.1,3,11.1,0.8,3,0.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0
610365,BETHUNE,2011,36,8,22,6,36,100,0,0,0,0,0,0,36,100,9.67,25,6.7,3.78,3,8.3,0.81,3,0.8,2,0.54
610365,BETHUNE,2012,103,46,50,7,99,96.1,15,14.6,3.97,15,4,2,84,81.6,22.23,53,14,1.88,1,1,0.26,1,0.3,0,0.0
610350,BLACK,2011,6,0,3,3,1,16.7,0,0,0,0,0,0,1,16.7,0.21,1,0.2,10,1,16.7,0.21,1,0.2,0,0.0
610350,BLACK,2012,42,6,31,5,43,102.4,16,38.1,3.43,14,3,1.06,27,64.3,5.79,21,4.5,1.96,2,4.8,0.43,1,0.2,0,0.0
610350,BLACK,2013,60,7,47,6,58,96.7,12,20,2.54,11,2.3,1,46,76.7,9.75,35,7.4,1.59,0,0,0,0,0,0,0.0
610350,BLACK,2014,673,352,320,1,78,11.6,52,7.7,11.23,42,9.1,1.04,26,3.9,5.62,19,4.1,1.42,0,0,0,0,0,0,0.0
609803,BLAINE,2011,23,5,15,3,14,60.9,1,4.3,0.11,1,0.1,10,13,56.5,1.41,12,1.3,2.31,1,4.3,0.11,1,0.1,0,0.0
609803,BLAINE,2012,26,3,20,3,22,84.6,3,11.5,0.32,3,0.3,1,19,73.1,2.01,13,1.4,1.95,0,0,0,0,0,0,0.0
609803,BLAINE,2013,28,6,13,9,20,71.4,9,32.1,0.97,8,0.9,1.89,11,39.3,1.18,11,1.2,3,0,0,0,0,0,0,0.0
