School ID,School Name,School Year,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,ISS per 100 Students,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,OSS per 100 Students,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,Police Notifications per 100 Students,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification,# of Students Expelled,Expulsions per 100 Students
610209,VOLTA,2011,187,116,59,12,84,44.9,54,28.9,5.31,40,3.9,1,30,16,2.95,17,1.7,3,2,1.1,0.2,2,0.2,0,0.0
610209,VOLTA,2012,54,32,22,0,16,29.6,14,25.9,1.4,11,1.1,1.5,2,3.7,0.2,2,0.2,3,2,3.7,0.2,2,0.2,0,0.0
610209,VOLTA,2013,119,62,47,10,40,33.6,30,25.2,2.91,21,2,1.33,10,8.4,0.97,7,0.7,2.5,2,1.7,0.19,2,0.2,0,0.0
610209,VOLTA,2014,75,30,41,4,22,29.3,17,22.7,1.7,14,1.4,1.29,5,6.7,0.5,4,0.4,1.4,3,4,0.3,3,0.3,0,0.0
610210,VON HUMBOLDT,2011,280,74,185,21,198,70.7,58,20.7,14.47,32,8,1.9,140,50,34.92,57,14.2,2.52,5,1.8,1.25,5,1.2,0,0.0
610210,VON HUMBOLDT,2012,74,8,58,8,73,98.6,19,25.7,5.25,19,5.3,1.68,54,73,14.93,29,8,2.83,1,1.4,0.28,1,0.3,0,0.0
610039,VON LINNE,2011,25,2,14,9,24,96,5,20,0.78,5,0.8,3,19,76,2.98,16,2.5,5.21,13,52,2.04,13,2,0,0.0
610039,VON LINNE,2012,11,0,8,3,10,90.9,0,0,0,0,0,0,10,90.9,1.46,9,1.3,4.1,4,36.4,0.59,4,0.6,0,0.0
610039,VON LINNE,2013,3,0,1,2,3,100,1,33.3,0.16,1,0.2,1,2,66.7,0.32,2,0.3,5,3,100,0.47,3,0.5,0,0.0
610039,VON LINNE,2014,2,1,1,0,1,50,1,50,0.15,1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
609737,VON STEUBEN HS,2011,209,72,99,38,209,100,0,0,0,0,0,0,209,100,13.01,145,9,2.39,46,22,2.86,41,2.6,0,0.0
609737,VON STEUBEN HS,2012,552,278,218,56,153,27.7,0,0,0,0,0,0,153,27.7,9.43,101,6.2,3.1,74,13.4,4.56,61,3.8,0,0.0
609737,VON STEUBEN HS,2013,547,301,199,47,139,25.4,0,0,0,0,0,0,139,25.4,8.47,93,5.7,2.76,90,16.5,5.48,71,4.3,1,0.06
609737,VON STEUBEN HS,2014,166,45,90,31,100,60.2,45,27.1,2.71,36,2.2,1.02,55,33.1,3.31,49,2.9,2.22,53,31.9,3.19,46,2.8,0,0.0
610366,WACKER,2011,19,0,18,1,19,100,2,10.5,0.84,2,0.8,1,17,89.5,7.15,11,4.6,1.88,0,0,0,0,0,0,0.0
610366,WACKER,2012,44,3,38,3,43,97.7,2,4.5,0.84,2,0.8,1,41,93.2,17.23,30,12.6,1.8,1,2.3,0.42,1,0.4,0,0.0
610366,WACKER,2013,9,0,5,4,10,111.1,2,22.2,0.85,1,0.4,3,8,88.9,3.4,5,2.1,3.25,3,33.3,1.27,2,0.8,0,0.0
610366,WACKER,2014,22,8,11,3,6,27.3,1,4.5,0.42,1,0.4,1,5,22.7,2.1,3,1.3,2,0,0,0,0,0,0,0.0
610213,WADSWORTH,2011,29,10,19,0,21,72.4,3,10.3,1.13,3,1.1,1.67,18,62.1,6.77,12,4.5,1.78,0,0,0,0,0,0,0.0
610213,WADSWORTH,2012,79,16,62,1,65,82.3,12,15.2,4.88,12,4.9,0.58,53,67.1,21.57,36,14.7,1.91,0,0,0,0,0,0,0.0
610213,WADSWORTH,2013,129,13,111,5,124,96.1,15,11.6,2.77,12,2.2,1.93,109,84.5,20.16,73,13.5,2.08,1,0.8,0.18,1,0.2,0,0.0
610213,WADSWORTH,2014,22,10,6,6,14,63.6,6,27.3,1.1,6,1.1,1,8,36.4,1.47,8,1.5,2.63,2,9.1,0.37,2,0.4,0,0.0
610216,WALSH,2011,24,2,18,4,19,79.2,3,12.5,0.61,3,0.6,2,16,66.7,3.24,13,2.6,4.25,3,12.5,0.61,3,0.6,0,0.0
610216,WALSH,2012,17,1,11,5,15,88.2,0,0,0,0,0,0,15,88.2,3.28,9,2,2.07,3,17.6,0.66,2,0.4,0,0.0
610216,WALSH,2013,23,14,4,5,14,60.9,5,21.7,1.11,4,0.9,1.4,9,39.1,2,9,2,3.33,1,4.3,0.22,1,0.2,0,0.0
610216,WALSH,2014,58,41,15,2,7,12.1,3,5.2,0.67,3,0.7,2.33,4,6.9,0.9,3,0.7,2,1,1.7,0.22,1,0.2,0,0.0
610217,"WARD, J",2011,18,7,9,2,14,77.8,2,11.1,0.41,2,0.4,1,12,66.7,2.44,11,2.2,2.17,1,5.6,0.2,1,0.2,0,0.0
610217,"WARD, J",2012,2,2,0,0,2,100,1,50,0.19,1,0.2,1,1,50,0.19,1,0.2,1.5,0,0,0,0,0,0,0.0
610217,"WARD, J",2013,30,21,8,1,13,43.3,8,26.7,1.56,7,1.4,1.63,5,16.7,0.97,5,1,2.2,1,3.3,0.19,1,0.2,0,0.0
