SCHOOL INFORMATION ,,,,,PERMANENT UTILIZATION (SY2021),,,,ADJUSTED UTILIZATION 1 (SY2021),,,,CLASSROOM DEDUCTIONS (SY2021),,,,,STUDENT DEDUCTIONS (SY2021),ADJUSTED UTILIZATION 2 (SY2021),,,FINAL STATUS (SY2021)
School ID,School Name,Grade Category,Co-Location,Grades Offered,SY2021 20th Day School Enrollment,Total Classrooms (CR's),Ideal Capacity (IC) for Permanent Bldg Only,Space Utilization (SU) for Permanent Bldg Only,Modular CR's,Leased CR's,Adjusted IC 1,Adjusted SU 1,Cluster Program CR's to Deduct,Pre-K Program CR's to Deduct,Other Qualifying CR's to Deduct,Small CR's to Deduct,"Total CR's Less Cluster, Pre-K, Other & Small",Students Assigned to Cluster or PK programs,Adjusted SY2021 20th Day School Enrollment ,Adjusted IC 2 After CR Deductions,SY2021 Adjusted SU 2,SY2021 SU Status
609710,HARLAN HS,HS,No,'9-12,297,55.5,1332,22%,0,0,--,--,0,0,0,3.5,52,0,297,1248,24%,Underutilized
609711,HARPER HS,HS,No,'12,21,59,1416,2%,0,0,--,--,0,0,0,3,56,0,21,1344,2%,Underutilized
609712,HIRSCH HS,HS,No,'9-12,90,44.5,1068,8%,0,0,--,--,0,0,0,1.5,43,0,90,1032,9%,Underutilized
609741,HUBBARD HS,HS,No,'9-12,1721,54.5,1308,132%,0,0,--,--,1,0,0,3.5,50,10,1711,1200,143%,Overcrowded
609713,HYDE PARK HS,HS,No,'9-12,770,85.5,2052,38%,0,0,--,--,2,0,0,1.5,82,24,746,1968,38%,Underutilized
609678,JONES HS,HS,No,'9-12,1964,77.5,1860,106%,0,0,--,--,4,0,0,2.5,71,49,1915,1704,112%,Overcrowded
609764,JUAREZ HS,HS,No,'9-12,1705,65.5,1572,109%,0,0,--,--,0,0,0,9.5,56,0,1705,1344,127%,Overcrowded
609762,JULIAN HS,HS,No,'9-12,390,68.5,1644,24%,0,0,--,--,1,0,0,6.5,61,0,390,1464,27%,Underutilized
609715,KELLY HS,HS,No,'9-12,1780,73,1752,102%,0,0,--,--,2,0,0,11,60,19,1761,1440,122%,Overcrowded
609716,KELVYN PARK HS,HS,No,'7-12,395,46.5,1116,35%,0,0,--,--,0,0,0,9.5,37,0,395,888,45%,Underutilized
609718,KENNEDY HS,HS,No,'9-12,1474,52.5,1260,117%,0,0,--,--,5,0,0,7.5,40,53,1421,960,148%,Overcrowded
609746,KENWOOD HS,HS,No,'7-12,2125,87.5,2100,101%,0,0,--,--,1,0,0,2.5,84,10,2115,2016,105%,Efficient
609751,KING HS,HS,No,'9-12,463,61.5,1476,31%,0,0,--,--,4,0,0,0.5,57,35,428,1368,31%,Underutilized
609719,LAKE VIEW HS,HS,No,'9-12,1353,64,1536,88%,0,0,--,--,2,0,0,5,57,29,1324,1368,97%,Efficient
609720,LANE TECH HS,HS,No,'7-12,4428,162.5,3900,114%,0,0,--,--,5,0,0,1.5,156,62,4366,3744,117%,Overcrowded
609738,LINCOLN PARK HS,HS,No,'9-12,2117,88.5,2124,100%,0,0,--,--,2,0,0,3.5,83,20,2097,1992,105%,Efficient
610391,LINDBLOM HS,HS,No,'7-12,1397,61.5,1476,95%,0,0,--,--,4,0,0,2.5,55,47,1350,1320,102%,Efficient
609722,MANLEY HS,HS,No,'9-12,87,62,1488,6%,0,0,--,--,0,0,0,3,59,0,87,1416,6%,Underutilized
609780,MARINE LEADERSHIP AT AMES HS,HS,No,'7-12,829,44,1056,79%,0,0,--,--,0,0,0,2,42,0,829,1008,82%,Efficient
609723,MARSHALL HS,HS,No,'9-12,228,59,1416,16%,0,0,--,--,0,0,0,0,59,0,228,1416,16%,Underutilized
609724,MATHER HS,HS,No,'9-12,1617,53.5,1284,126%,0,0,--,--,0,0,0,3.5,50,0,1617,1200,135%,Overcrowded
609725,MORGAN PARK HS,HS,No,'7-12,1079,69.5,1668,65%,0,0,--,--,2,0,0,6.5,61,26,1053,1464,72%,Efficient
609691,NORTH-GRAND HS,HS,No,'9-12,1039,48.5,1164,89%,0,0,--,--,4,0,0,1.5,43,46,993,1032,96%,Efficient
609749,NORTHSIDE PREP HS,HS,No,'9-12,1059,43,1032,103%,0,0,--,--,2,0,0,0,41,17,1042,984,106%,Efficient
610529,OGDEN HS,HS,No,'9-12,632,39,936,68%,0,0,--,--,2,0,0,0,37,11,621,888,70%,Efficient
609680,PAYTON HS,HS,No,'9-12,1216,55.5,1332,91%,0,0,--,--,3,0,0,0.5,52,25,1191,1248,95%,Efficient
609727,PHILLIPS HS,HS,No,'9-12,614,82.5,1980,31%,0,0,--,--,0,0,0,2.5,80,0,614,1920,32%,Underutilized
610304,PHOENIX MILITARY HS,HS,No,'9-12,578,46,1104,52%,0,0,--,--,0,0,0,0,46,0,578,1104,52%,Underutilized
609679,PROSSER HS,HS,No,'9-12,1214,50.5,1212,100%,0,0,--,--,3,0,0,4.5,43,27,1187,1032,115%,Overcrowded
610334,RABY HS,HS,No,'9-12,246,42.5,1020,24%,0,0,--,--,4,0,0,2.5,36,47,199,864,23%,Underutilized
609682,RICHARDS HS,HS,No,'9-12,233,35.5,852,27%,0,0,--,--,0,0,3,0.5,32,0,233,768,30%,Underutilized
610390,RICKOVER MILITARY HS,HS,No,'9-12,447,29.5,708,63%,0,0,--,--,0,0,0,0.5,29,0,447,696,64%,Underutilized
609728,ROOSEVELT HS,HS,No,'9-12,1021,62.5,1500,68%,0,0,--,--,2,0,0,2.5,58,22,999,1392,72%,Efficient
609729,SCHURZ HS,HS,No,'9-12,1518,112,2688,57%,0,0,--,--,4,0,0,3,105,51,1467,2520,58%,Underutilized
609730,SENN HS,HS,No,'9-12,1547,102,2448,63%,0,0,--,--,0,0,0,8,94,0,1547,2256,69%,Underutilized
609692,SIMEON HS,HS,No,'9-12,1420,63.5,1524,93%,0,0,--,--,4,0,0,1.5,58,46,1374,1392,99%,Efficient
610543,SOLORIO HS,HS,No,'9-12,1238,48,1152,108%,0,0,--,--,2,0,0,1,45,24,1214,1080,112%,Overcrowded
610547,SOUTH SHORE INTL HS,HS,No,'9-12,561,43,1032,54%,0,0,--,--,3,0,0,0,40,32,529,960,55%,Underutilized
610357,SPRY HS,HS,No,'9-12,97,0,0,--,0,10,240,40%,0,0,0,2,8,0,97,192,51%,Underutilized
609732,STEINMETZ HS,HS,No,'9-12,1167,67.5,1620,72%,12,0,1908,61%,0,0,18,5.5,56,0,1167,1344,87%,Efficient
609733,SULLIVAN HS,HS,No,'9-12,597,45.5,1092,55%,0,0,--,--,4,0,0,2.5,39,48,549,936,59%,Underutilized
609734,TAFT HS,HS,No,'7-12,3960,150.5,3612,110%,0,0,--,--,1,0,0,7.5,142,*,3952,3408,116%,Overcrowded
609735,TILDEN HS,HS,No,'9-12,203,84.5,2028,10%,0,0,--,--,1,0,0,6.5,77,*,194,1848,11%,Underutilized
610394,UPLIFT HS,HS,No,'9-12,106,43,1032,10%,0,0,--,--,4,0,0,1,38,42,64,912,7%,Underutilized
609737,VON STEUBEN HS,HS,No,'9-12,1674,55,1320,127%,0,0,--,--,2,0,0,4,49,24,1650,1176,140%,Overcrowded
609739,WASHINGTON HS,HS,No,'9-12,1505,54,1296,116%,4,0,1392,108%,2,0,0,3,53,24,1481,1272,116%,Overcrowded
609740,WELLS HS,HS,No,'9-12,316,58.5,1404,23%,0,0,--,--,0,0,0,5.5,53,0,316,1272,25%,Underutilized
609693,WESTINGHOUSE HS,HS,No,'9-12,1255,46,1104,114%,0,0,--,--,4,0,0,0,42,41,1214,1008,120%,Overcrowded
609755,YOUNG HS,HS,No,'7-12,2208,86.5,2076,106%,0,0,--,--,8,0,0,9.5,69,88,2120,1656,128%,Overcrowded
,,,,,,,,,,,,,,,,,,,,,,
610323,BOWEN HS,HS,HS COLO1,'9-12,218,,,,,,,--,2,0,0,,,16,202,0,--,--
400157,NOBLE - BAKER HS,HS,HS COLO1,'9-12,245,,,,,,,--,0,0,0,,,0,245,0,--,--
COLO,HS COLO: BOWEN HS & NOBLE - BAKER HS,HS,HS COLO1,'--,--,86.5,1980,23%,0,0,--,--,2,0,0,3.5,81,16,447,1860,24%,Underutilized
610381,BRONZEVILLE HS,HS,HS COLO2,'9-12,87,,,,,,,--,1,0,0,,,12,75,0,--,--
610380,WILLIAMS HS,HS,HS COLO2,'9-12,107,,,,,,,--,0,0,0,,,0,107,0,--,--
COLO,HS COLO: BRONZEVILLE HS & WILLIAMS HS,HS,HS COLO2,'--,--,101,2310,8%,0,0,--,--,1,0,0,2,98,12,182,2250,8%,Underutilized
610340,CHICAGO ACADEMY HS,HS,HS COLO3,'9-12,571,,,,,,,--,0,0,0,,,0,571,0,--,--
610248,CHICAGO ACADEMY ES,HS,HS COLO3,"'PK, K-8",561,,,,,,,--,0,3,0,,,40,521,0,--,--
COLO,HS COLO: CHICAGO ACAD ES & HS,HS,HS COLO3,'--,--,0,0,--,0,56,1290,88%,0,3,0,2,51,40,1092,1170,93%,Efficient
610499,COLLINS HS,HS,HS COLO4,'9-12,231,,,,,,,--,0,0,0,,,0,231,0,--,--
400059,NORTH LAWNDALE - COLLINS HS,HS,HS COLO4,'9-12,448,,,,,,,--,0,0,0,,,0,448,0,--,--
COLO,HS COLO: COLLINS HS & NLCP - COLLINS HS,HS,HS COLO4,'--,--,50.5,1140,60%,0,0,--,--,0,0,0,4.5,46,0,679,1050,65%,Underutilized
609761,CORLISS HS,HS,HS COLO5,'9-12,284,,,,,,,--,1,0,0,,,*,277,0,--,--
400156,NOBLE - BUTLER HS,HS,HS COLO5,'9-12,637,,,,,,,--,0,0,0,,,0,637,0,--,--
COLO,HS COLO: CORLISS & NOBLE - BUTLER HS,HS,HS COLO5,'--,--,67.5,1530,60%,0,0,--,--,1,0,0,3.5,63,*,914,1440,64%,Underutilized
609768,HOPE HS (CLOSED),HS,HS COLO6,'N/A,--,,,,,,,--,0,0,0,,,0,0,0,--,--
400163,KIPP - BLOOM,HS,HS COLO6,"'K-1, 5-8",682,,,,,,,--,0,0,0,,,0,682,0,--,--
COLO,HS COLO: HOPE HS & KIPP - BLOOM,HS,HS COLO6,'--,--,53,1200,57%,0,0,--,--,0,0,0,1,52,0,682,1200,57%,Underutilized
610384,INFINITY HS,HS,HS COLO7,'9-12,398,,,,,,,--,0,0,0,,,0,398,0,--,--
610385,MULTICULTURAL HS,HS,HS COLO7,'9-12,225,,,,,,,--,0,0,0,,,0,225,0,--,--
610383,SOCIAL JUSTICE HS,HS,HS COLO7,'9-12,335,,,,,,,--,0,0,0,,,0,335,0,--,--
610392,WORLD LANGUAGE HS,HS,HS COLO7,'9-12,345,,,,,,,--,0,0,0,,,0,345,0,--,--
COLO,HS COLO: LITTLE VILLAGE CAMPUS,HS,HS COLO7,'--,--,61,1380,94%,0,0,--,--,0,0,0,1,60,0,1303,1380,94%,Efficient
610389,ORR HS,HS,HS COLO8,'9-12,245,,,,,,,--,0,0,0,,,0,245,0,--,--
400180,KIPP - ONE,HS,HS COLO8,'K-8,973,,,,,,,--,0,0,0,,,0,973,0,--,--
COLO,HS COLO: ORR HS & KIPP - ONE,HS,HS COLO8,'--,--,83.5,1920,63%,0,0,--,--,0,0,0,4.5,79,0,1218,1800,68%,Underutilized
