School ID,School,Total,White No,White Pct,African American No,African American Pct,Native American No,Native American Pct,Asian Pacific Islander No,Asian Pacific Islander Pct,Hispanic No,Hispanic Pct,Year
609902,Metcalfe,692,2.0,0.3,689.0,99.6,0.0,0.0,0.0,0.0,1.0,0.1,2009
609932,Owens,388,0.0,0.0,384.0,99.0,0.0,0.0,0.0,0.0,4.0,1.0,2009
610132,Poe Classical,197,5.0,2.5,189.0,95.9,1.0,0.5,1.0,0.5,1.0,0.5,2009
610139,Pullman,298,3.0,1.0,232.0,77.9,0.0,0.0,0.0,0.0,63.0,21.1,2009
610178,Schmid,225,2.0,0.9,217.0,96.4,0.0,0.0,0.0,0.0,6.0,2.7,2009
610176,Shoop,680,0.0,0.0,680.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
609978,"Smith, W.",401,0.0,0.0,401.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
610160,Songhai,407,0.0,0.0,402.0,98.8,0.0,0.0,0.0,0.0,5.0,1.2,2009
610198,Taylor,669,10.0,1.5,87.0,13.0,0.0,0.0,0.0,0.0,572.0,85.5,2009
610200,"Thorp, J. N.",541,1.0,0.2,444.0,82.1,1.0,0.2,0.0,0.0,95.0,17.6,2009
610224,West Pullman,370,1.0,0.3,368.0,99.5,0.0,0.0,0.0,0.0,1.0,0.3,2009
610225,Whistler,433,1.0,0.2,432.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,2009
610315,White,164,0.0,0.0,163.0,99.4,0.0,0.0,0.0,0.0,1.0,0.6,2009
609695,Amundsen HS,1630,181.0,11.1,237.0,14.5,3.0,0.2,165.0,10.1,1044.0,64.0,2009
610501,Austin Polytech HS,330,0.0,0.0,324.0,98.2,1.0,0.3,0.0,0.0,5.0,1.5,2009
610370,Best Practice HS,144,0.0,0.0,134.0,93.1,0.0,0.0,0.0,0.0,10.0,6.9,2009
610244,Clark Magnet HS,1021,2.0,0.2,1014.0,99.3,0.0,0.0,2.0,0.2,3.0,0.3,2009
609676,Dunbar Voc HS,1612,3.0,0.2,1593.0,98.8,2.0,0.1,1.0,0.1,13.0,0.8,2009
609764,Juarez HS,1564,16.0,1.0,55.0,3.5,1.0,0.1,20.0,1.3,1472.0,94.1,2009
609723,Marshall HS,998,1.0,0.1,993.0,99.5,0.0,0.0,0.0,0.0,4.0,0.4,2009
609724,Mather HS,1636,362.0,22.1,260.0,15.9,8.0,0.5,402.0,24.6,604.0,36.9,2009
609743,Phillips AA HS,103,2.0,1.9,56.0,54.4,0.0,0.0,0.0,0.0,45.0,43.7,2009
609727,Phillips HS,746,5.0,0.7,734.0,98.4,0.0,0.0,4.0,0.5,3.0,0.4,2009
609729,Schurz HS,2187,179.0,8.2,174.0,8.0,7.0,0.3,49.0,2.2,1778.0,81.3,2009
609733,Sullivan HS,797,46.0,5.8,416.0,52.2,0.0,0.0,81.0,10.2,254.0,31.9,2009
610378,Crane AA HS,257,1.0,0.4,245.0,95.3,0.0,0.0,0.0,0.0,11.0,4.3,2009
609702,Crane Tech HS,720,2.0,0.3,704.0,97.8,0.0,0.0,1.0,0.1,13.0,1.8,2009
609736,Dyett HS,530,0.0,0.0,530.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
609694,Hancock HS,997,57.0,5.7,28.0,2.8,5.0,0.5,4.0,0.4,903.0,90.6,2009
609768,Hope CPHS,807,0.0,0.0,797.0,98.8,0.0,0.0,0.0,0.0,10.0,1.2,2009
609746,Kenwood HS,1791,47.0,2.6,1600.0,89.3,3.0,0.2,74.0,4.1,67.0,3.7,2009
609722,Manley HS,881,5.0,0.6,874.0,99.2,0.0,0.0,0.0,0.0,2.0,0.2,2009
610334,Raby HS,561,2.0,0.4,549.0,97.9,1.0,0.2,0.0,0.0,9.0,1.6,2009
610506,TEAM Englewood HS,364,0.0,0.0,362.0,99.5,0.0,0.0,1.0,0.3,1.0,0.3,2009
609737,Von Steuben HS,1630,424.0,26.0,399.0,24.5,4.0,0.2,218.0,13.4,585.0,35.9,2009
609740,Wells HS,665,15.0,2.3,327.0,49.2,0.0,0.0,0.0,0.0,323.0,48.6,2009
609693,Westinghouse HS,280,5.0,1.8,215.0,76.8,0.0,0.0,4.0,1.4,56.0,20.0,2009
610307,BEST HS,350,1.0,0.3,333.0,95.1,0.0,0.0,0.0,0.0,16.0,4.6,2009
609698,Bogan Tech HS,1938,51.0,2.6,1135.0,58.6,2.0,0.1,7.0,0.4,743.0,38.3,2009
609761,Corliss HS,908,2.0,0.2,890.0,98.0,0.0,0.0,1.0,0.1,15.0,1.7,2009
609709,Gage Park HS,1619,11.0,0.7,788.0,48.7,1.0,0.1,0.0,0.0,819.0,50.6,2009
609710,Harlan HS,1353,1.0,0.1,1346.0,99.5,1.0,0.1,0.0,0.0,5.0,0.4,2009
609712,Hirsch HS,673,4.0,0.6,665.0,98.8,0.0,0.0,0.0,0.0,4.0,0.6,2009
610323,New Millenium HS,228,2.0,0.9,212.0,93.0,1.0,0.4,0.0,0.0,13.0,5.7,2009
609682,Richards HS,600,6.0,1.0,159.0,26.5,0.0,0.0,0.0,0.0,435.0,72.5,2009
610374,Robeson AA HS,213,0.0,0.0,209.0,98.1,0.0,0.0,0.0,0.0,4.0,1.9,2009
609707,Robeson HS,1265,0.0,0.0,1260.0,99.6,1.0,0.1,0.0,0.0,4.0,0.3,2009
610310,Sch Of The Arts HS,384,2.0,0.5,379.0,98.7,1.0,0.3,0.0,0.0,2.0,0.5,2009
610375,Tilden AA HS,227,6.0,2.6,160.0,70.5,0.0,0.0,1.0,0.4,60.0,26.4,2009
609735,Tilden HS,680,30.0,4.4,472.0,69.4,0.0,0.0,19.0,2.8,159.0,23.4,2009
609739,"Washington, G. HS",1450,111.0,7.7,219.0,15.1,3.0,0.2,3.0,0.2,1114.0,76.8,2009
610309,Chicago Discovery HS,397,1.0,0.3,235.0,59.2,1.0,0.3,0.0,0.0,160.0,40.3,2009
609675,Chicago Voc AA HS,294,1.0,0.3,284.0,96.6,0.0,0.0,0.0,0.0,9.0,3.1,2009
609674,Chicago Voc HS,1438,5.0,0.3,1420.0,98.7,0.0,0.0,0.0,0.0,13.0,0.9,2009
610311,Entrepreneurshp HS,349,0.0,0.0,347.0,99.4,0.0,0.0,0.0,0.0,2.0,0.6,2009
610324,Global Visions HS,215,1.0,0.5,192.0,89.3,1.0,0.5,0.0,0.0,21.0,9.8,2009
609713,Hyde Park HS,1836,4.0,0.2,1828.0,99.6,1.0,0.1,0.0,0.0,3.0,0.2,2009
609762,Julian HS,1420,3.0,0.2,1410.0,99.3,0.0,0.0,2.0,0.1,5.0,0.4,2009
609718,Kennedy HS,1665,546.0,32.8,162.0,9.7,3.0,0.2,17.0,1.0,937.0,56.3,2009
609725,Morgan Park HS,1684,37.0,2.2,1610.0,95.6,1.0,0.1,1.0,0.1,35.0,2.1,2009
610297,Sch Of Leadership HS,334,0.0,0.0,332.0,99.4,1.0,0.3,0.0,0.0,1.0,0.3,2009
610296,Sch Of Technology HS,324,0.0,0.0,322.0,99.4,0.0,0.0,0.0,0.0,2.0,0.6,2009
609692,Simeon HS,1557,1.0,0.1,1549.0,99.5,0.0,0.0,1.0,0.1,6.0,0.4,2009
610401,Clemente AA HS,220,1.0,0.5,117.0,53.2,0.0,0.0,0.0,0.0,102.0,46.4,2009
609759,Clemente HS,1588,30.0,1.9,548.0,34.5,2.0,0.1,2.0,0.1,1006.0,63.4,2009
610245,Douglass HS,498,1.0,0.2,496.0,99.6,0.0,0.0,0.0,0.0,1.0,0.2,2009
610384,Infinity HS,355,1.0,0.3,63.0,17.7,0.0,0.0,1.0,0.3,290.0,81.7,2009
609715,Kelly HS,3186,102.0,3.2,74.0,2.3,4.0,0.1,252.0,7.9,2754.0,86.4,2009
609679,Prosser HS,1417,128.0,9.0,446.0,31.5,1.0,0.1,5.0,0.4,837.0,59.1,2009
610377,Senn AA HS,93,13.0,14.0,31.0,33.3,1.0,1.1,2.0,2.2,46.0,49.5,2009
609730,Senn HS,1067,67.0,6.3,410.0,38.4,4.0,0.4,128.0,12.0,458.0,42.9,2009
610394,Uplift Community HS,546,21.0,3.8,441.0,80.8,1.0,0.2,19.0,3.5,64.0,11.7,2009
610518,Voise Academy HS,273,1.0,0.4,265.0,97.1,0.0,0.0,0.0,0.0,7.0,2.6,2009
610380,Williams Prep Med HS,324,3.0,0.9,311.0,96.0,0.0,0.0,0.0,0.0,10.0,3.1,2009
610392,World Language HS,363,3.0,0.8,28.0,7.7,0.0,0.0,0.0,0.0,332.0,91.5,2009
610513,Air Force Acad HS,126,7.0,5.6,64.0,50.8,0.0,0.0,3.0,2.4,52.0,41.3,2009
609760,Carver Mil Acad HS,520,11.0,2.1,261.0,50.2,0.0,0.0,0.0,0.0,248.0,47.7,2009
609754,Chicago Mil Acad HS,501,10.0,2.0,377.0,75.2,1.0,0.2,2.0,0.4,111.0,22.2,2009
609704,Farragut HS,1771,10.0,0.6,329.0,18.6,2.0,0.1,0.0,0.0,1430.0,80.7,2009
609708,Foreman HS,1931,93.0,4.8,331.0,17.1,1.0,0.1,14.0,0.7,1492.0,77.3,2009
609741,Hubbard HS,1795,73.0,4.1,176.0,9.8,3.0,0.2,19.0,1.1,1524.0,84.9,2009
609716,Kelvyn Park HS,1455,27.0,1.9,117.0,8.0,0.0,0.0,4.0,0.3,1307.0,89.8,2009
610502,Marine Mil Acad HS,321,14.0,4.4,133.0,41.4,1.0,0.3,4.0,1.2,169.0,52.6,2009
610304,Phoenix Mil Acad HS,404,10.0,2.5,156.0,38.6,0.0,0.0,6.0,1.5,232.0,57.4,2009
610390,Rickover Naval HS,397,47.0,11.8,83.0,20.9,0.0,0.0,21.0,5.3,246.0,62.0,2009
609732,Steinmetz HS,1959,229.0,11.7,365.0,18.6,3.0,0.2,30.0,1.5,1332.0,68.0,2009
609734,Taft HS,2677,1434.0,53.6,93.0,3.5,11.0,0.4,226.0,8.4,913.0,34.1,2009
610083,Beard,161,68.0,42.2,29.0,18.0,0.0,0.0,14.0,8.7,50.0,31.1,2009
610087,Blair,128,25.0,19.5,39.0,30.5,1.0,0.8,1.0,0.8,62.0,48.4,2009
610280,Buckingham,34,1.0,2.9,32.0,94.1,0.0,0.0,0.0,0.0,1.0,2.9,2009
609855,Christopher,264,21.0,8.0,73.0,27.7,0.0,0.0,3.0,1.1,167.0,63.3,2009
609769,"Graham, R. Trng CTR",171,7.0,4.1,96.0,56.1,0.0,0.0,5.0,2.9,63.0,36.8,2009
609765,Las Casas HS,70,0.0,0.0,65.0,92.9,0.0,0.0,0.0,0.0,5.0,7.1,2009
610075,Montefiore,52,4.0,7.7,38.0,73.1,0.0,0.0,0.0,0.0,10.0,19.2,2009
610093,Neil,355,2.0,0.6,346.0,97.5,0.0,0.0,0.0,0.0,7.0,2.0,2009
609744,Northside Lrn Ctr HS,301,58.0,19.3,84.0,27.9,2.0,0.7,13.0,4.3,144.0,47.8,2009
610085,Nr North SPED Ctr,89,6.0,6.7,53.0,59.6,0.0,0.0,0.0,0.0,30.0,33.7,2009
610308,Rudolph Lrng Ctr,111,3.0,2.7,50.0,45.0,1.0,0.9,3.0,2.7,54.0,48.6,2009
609745,Southside Occp HS,183,10.0,5.5,140.0,76.5,0.0,0.0,0.0,0.0,33.0,18.0,2009
610163,Stock,284,225.0,79.2,7.0,2.5,0.0,0.0,15.0,5.3,37.0,13.0,2009
609766,Vaughn Occp HS,230,37.0,16.1,85.0,37.0,1.0,0.4,4.0,1.7,103.0,44.8,2009
610365,Bethune,377,0.0,0.0,377.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
610248,Chicago Acad,590,183.0,31.0,63.0,10.7,4.0,0.7,26.0,4.4,314.0,53.2,2009
610340,Chicago Acad HS,497,98.0,19.7,123.0,24.7,2.0,0.4,22.0,4.4,252.0,50.7,2009
610499,Collins Acad HS,349,0.0,0.0,341.0,97.7,0.0,0.0,0.0,0.0,8.0,2.3,2009
609888,Dodge,471,1.0,0.2,468.0,99.4,0.0,0.0,0.0,0.0,2.0,0.4,2009
610263,Dulles,444,1.0,0.2,443.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,2009
609971,Harvard,463,1.0,0.2,462.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,2009
610000,Howe,548,0.0,0.0,543.0,99.1,2.0,0.4,1.0,0.2,2.0,0.4,2009
610274,Johnson,297,0.0,0.0,297.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
610257,Morton,278,0.0,0.0,272.0,97.8,0.0,0.0,0.0,0.0,6.0,2.2,2009
610231,Natl Teachers Acad,424,0.0,0.0,423.0,99.8,0.0,0.0,0.0,0.0,1.0,0.2,2009
610389,Orr Academy HS,1140,2.0,0.2,1033.0,90.6,1.0,0.1,0.0,0.0,104.0,9.1,2009
610172,Sherman,520,0.0,0.0,512.0,98.5,0.0,0.0,1.0,0.2,7.0,1.3,2009
610396,Tarkington,1106,7.0,0.6,307.0,27.8,0.0,0.0,0.0,0.0,792.0,71.6,2009
609869,Copernicus,353,0.0,0.0,351.0,99.4,0.0,0.0,2.0,0.6,0.0,0.0,2009
609705,Fenger  HS,1190,3.0,0.3,1183.0,99.4,0.0,0.0,1.0,0.1,3.0,0.3,2009
609706,Fenger AA HS,128,0.0,0.0,128.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
609929,Fulton,529,0.0,0.0,431.0,81.5,0.0,0.0,1.0,0.2,97.0,18.3,2009
609711,Harper HS,771,1.0,0.1,769.0,99.7,0.0,0.0,0.0,0.0,1.0,0.1,2009
610371,IDOC/Healy South HS,212,5.0,2.4,176.0,83.0,1.0,0.5,1.0,0.5,29.0,13.7,2009
609783,"Jefferson, N",360,9.0,2.5,297.0,82.5,4.0,1.1,0.0,0.0,50.0,13.9,2009
610388,LINC Alt HS,798,8.0,1.0,643.0,80.6,0.0,0.0,1.0,0.1,146.0,18.3,2009
610386,Peace & Education Alt HS,118,1.0,0.8,38.0,32.2,1.0,0.8,0.0,0.0,78.0,66.1,2009
400070,Prologue Early College HS,247,7.0,2.8,191.0,77.3,2.0,0.8,4.0,1.6,43.0,17.4,2009
609683,Safe School Alt HS,337,5.0,1.5,279.0,82.8,0.0,0.0,0.0,0.0,53.0,15.7,2009
609750,Simpson HS,110,2.0,1.8,92.0,83.6,0.0,0.0,0.0,0.0,16.0,14.5,2009
609748,York Alt HS,329,12.0,3.6,256.0,77.8,0.0,0.0,1.0,0.3,60.0,18.2,2009
400010,ACE Tech Chtr HS,507,30.0,5.9,333.0,65.7,1.0,0.2,2.0,0.4,141.0,27.8,2009
400008,ACT Chtr HS,324,1.0,0.3,321.0,99.1,0.0,0.0,0.0,0.0,2.0,0.6,2009
400012,Amandla Elementay Chrtr,216,0.0,0.0,213.0,98.6,0.0,0.0,0.0,0.0,3.0,1.4,2009
400013,ASPIRA Chrt - Early College,414,10.0,2.4,32.0,7.7,0.0,0.0,5.0,1.2,367.0,88.6,2009
400017,ASPIRA Chrt - Haugan,483,37.0,7.7,35.0,7.2,0.0,0.0,15.0,3.1,396.0,82.0,2009
400015,ASPIRA Chrt - Ramirez,436,13.0,3.0,29.0,6.7,0.0,0.0,5.0,1.1,389.0,89.2,2009
400019,Bronzeville LH Chrt,457,1.0,0.2,449.0,98.2,1.0,0.2,1.0,0.2,5.0,1.1,2009
400020,Catalyst Chrt - Howland,389,1.0,0.3,387.0,99.5,0.0,0.0,0.0,0.0,1.0,0.3,2009
400035,Chgo Math/Sci Chtr,599,46.0,7.7,157.0,26.2,0.0,0.0,45.0,7.5,351.0,58.6,2009
400036,Chicago Virtual Chtr,553,99.0,17.9,363.0,65.6,1.0,0.2,38.0,6.9,52.0,9.4,2009
400023,CICS - Avalon/So Shore,420,0.0,0.0,420.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
400025,CICS - Bucktown,628,39.0,6.2,136.0,21.7,0.0,0.0,7.0,1.1,446.0,71.0,2009
400032,CICS - Ellison,576,3.0,0.5,565.0,98.1,0.0,0.0,2.0,0.3,6.0,1.0,2009
400027,CICS - Irving Park,408,51.0,12.5,83.0,20.3,1.0,0.2,15.0,3.7,258.0,63.2,2009
400092,CICS - Lloyd Bond,342,0.0,0.0,342.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
400033,CICS - Longwood,1473,1.0,0.1,1460.0,99.1,0.0,0.0,0.0,0.0,12.0,0.8,2009
400026,CICS - Loomis,585,2.0,0.3,577.0,98.6,0.0,0.0,2.0,0.3,4.0,0.7,2009
400034,CICS - Northtown,836,225.0,26.9,87.0,10.4,5.0,0.6,103.0,12.3,416.0,49.8,2009
