,Year,Dept/Unit Number,Job Title_Chief Safety & Security OFF,Job Title_Flex Team Security Officer,Job Title_Safety And Security Off,Job Title_School Security Officer,Job Title_Senior School Security Officer,Job Title_Senior Security Officer,Total Security,Total Security_Filled,Job Title_Career Counseling Manager,Job Title_Director of Counseling,"Job Title_Director, School Counseling & Post Secondary Advising",Job Title_Guidance Counselor Assistant,Job Title_HS Counseling Specialist,Job Title_K‐8 Counseling Specialist,Job Title_Manager-Secdry Schl Counselng,Job Title_School Counselor,Total Counseling,Total Counseling_Filled,School ID,pos_name_0,School,Total,Bilingual_N,Bilingual_P,IEP_N,IEP_P,Free_Lunch_N,Free_Lunch_P,Job Title_Cntrl Office Security Officer,Job Title_K-8 Counseling Specialist
22,2012,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,609987,HENDRICKS,Thomas A Hendricks Elementary Community Academy,287,3,0.0105,25,0.0871,277,0.9652,0,0
23,2013,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,609987,HENDRICKS,Thomas A Hendricks Elementary Community Academy,271,4,0.014760147601476,46,0.169741697416974,264,0.974169741697417,0,0
24,2014,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,609987,HENDRICKS,Thomas A Hendricks Elementary Community Academy,262,6,0.0229,46,0.1756,253,0.9656,0,0
25,2010,41051,0,0,0,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,610244,CLARK HS,Clark Magnet HS,942,2,0.002123142250531,116,0.123142250530786,776,0.823779193205945,0,0
26,2011,41051,0,0,0,6,0,0,6,6,0,0,0,2,0,0,0,4,6,5,610244,CLARK HS,Michele Clark Academic Prep Magnet High School,733,0,0,93,0.1269,693,0.9454,0,0
27,2012,41051,0,0,0,8,1,0,9,6,0,0,0,2,0,0,0,2,4,4,610244,CLARK HS,Michele Clark Academic Prep Magnet High School,574,1,0.0017,75,0.1307,555,0.9669,0,0
28,2013,41051,0,0,0,8,1,0,9,9,0,0,0,1,0,0,0,1,2,2,610244,CLARK HS,Michele Clark Academic Prep Magnet High School,499,0,0,65,0.130260521042084,490,0.981963927855711,0,0
29,2014,41051,0,0,0,7,2,0,9,8,0,0,0,0,0,0,0,1,1,0,610244,CLARK HS,Michele Clark Academic Prep Magnet High School,511,0,0,63,0.1233,506,0.9902,0,0
30,2010,41061,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,2,2,610245,DOUGLASS HS,Douglass HS,383,0,0,87,0.227154046997389,369,0.963446475195822,0,0
31,2011,41061,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,1,2,1,610245,DOUGLASS HS,Frederick A Douglass Academy High School,354,0,0,77,0.2175,353,0.9972,0,0
32,2012,41061,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,1,2,2,610245,DOUGLASS HS,Frederick A Douglass Academy High School,316,1,0.0032,64,0.2025,316,1,0,0
33,2013,41061,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,1,2,2,610245,DOUGLASS HS,Frederick A Douglass Academy High School,291,1,0.003436426116838,67,0.230240549828179,209,0.718213058419244,0,0
34,2014,41061,0,0,0,2,1,0,3,2,0,0,0,1,0,0,0,1,2,2,610245,DOUGLASS HS,Frederick A Douglass Academy High School,243,2,0.0082,61,0.251,236,0.9712,0,0
35,2013,45221,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,3,3,610390,RICKOVER MILITARY HS,Hyman G Rickover Naval Academy High School,507,5,0.009861932938856,42,0.082840236686391,432,0.85207100591716,0,0
36,2014,45221,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,3,3,610390,RICKOVER MILITARY HS,Hyman G Rickover Naval Academy High School,553,22,0.0398,46,0.0832,481,0.8698,0,0
37,2010,46031,0,0,0,4,0,0,4,4,0,0,0,2,0,0,0,0,2,2,609695,AMUNDSEN HS,Amundsen HS,1645,186,0.11306990881459,251,0.15258358662614,1249,0.759270516717325,0,0
38,2011,46031,0,0,0,4,0,0,4,4,0,0,0,2,0,0,0,5,7,7,609695,AMUNDSEN HS,Roald Amundsen High School,1535,177,0.1153,232,0.1511,1438,0.9368,0,0
39,2012,46031,0,0,0,4,7,0,11,11,0,0,0,2,0,0,0,4,6,6,609695,AMUNDSEN HS,Roald Amundsen High School,1434,172,0.1199,211,0.1471,1344,0.9372,0,0
40,2013,46031,0,0,0,7,0,0,7,7,0,0,0,2,0,0,0,4,6,6,609695,AMUNDSEN HS,Roald Amundsen High School,1266,133,0.105055292259084,168,0.132701421800948,1172,0.925750394944708,0,0
41,2014,46031,0,0,0,7,0,0,7,5,0,0,0,2,0,0,0,4,6,4,609695,AMUNDSEN HS,Roald Amundsen High School,1132,138,0.1219,159,0.1405,1056,0.9329,0,0
42,2010,46041,0,0,0,11,0,0,11,11,0,0,0,4,0,0,0,0,4,4,609698,BOGAN HS,Bogan Tech HS,1786,94,0.052631578947369,272,0.152295632698768,1601,0.896416573348264,0,0
43,2011,46041,0,0,0,11,0,0,11,11,0,0,0,4,0,0,0,5,9,9,609698,BOGAN HS,William J Bogan High School,1658,74,0.0446,257,0.155,1575,0.9499,0,0
44,2012,46041,0,0,0,11,3,0,14,14,0,0,0,3,0,0,0,6,9,8,609698,BOGAN HS,William J Bogan High School,1409,69,0.049,223,0.1583,1332,0.9454,0,0
45,2013,46041,0,0,0,7,3,0,10,10,0,0,0,0,0,0,0,3,3,3,609698,BOGAN HS,William J Bogan High School,1115,83,0.074439461883408,204,0.182959641255605,561,0.503139013452915,0,0
46,2013,46041,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,609698,BOGAN HS,William J Bogan High School,1115,83,0.074439461883408,204,0.182959641255605,561,0.503139013452915,0,0
47,2014,46041,0,0,0,8,3,0,11,9,0,0,0,0,0,0,0,3,3,2,609698,BOGAN HS,William J Bogan High School,952,76,0.0798,187,0.1964,886,0.9307,0,0
48,2010,46081,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,609702,CRANE HS,Crane Tech HS,513,1,0.001949317738791,120,0.233918128654971,419,0.816764132553606,0,0
49,2011,46081,0,0,0,4,0,0,4,3,0,0,0,0,0,0,0,2,2,2,609702,CRANE HS,Richard T Crane Technical Preparatory HS,476,1,0.0021,110,0.2311,457,0.9601,0,0
50,2012,46081,0,0,0,4,3,0,7,7,0,0,0,0,0,0,0,2,2,2,609702,CRANE HS,Richard T Crane Technical Preparatory HS,387,0,0,75,0.1938,343,0.8863,0,0
51,2013,46081,0,0,0,2,3,0,5,5,0,0,0,0,0,0,0,1,1,1,609702,CRANE HS,Richard T Crane Technical Preparatory HS,162,0,0,41,0.253086419753086,150,0.925925925925926,0,0
52,2014,46081,0,0,0,2,3,0,5,5,0,0,0,0,0,0,0,1,1,1,609702,CRANE HS,Richard T Crane Technical Preparatory HS,57,0,0,10,0.1754,56,0.9825,0,0
53,2010,46131,0,0,0,5,0,0,5,5,0,0,0,2,0,0,0,0,2,2,609708,FOREMAN HS,Foreman HS,1831,217,0.118514472965593,268,0.146368104860732,1555,0.849262697979246,0,0
54,2011,46131,0,0,0,5,0,0,5,5,0,0,0,2,0,0,0,5,7,6,609708,FOREMAN HS,Edwin G Foreman High School,1715,245,0.1429,261,0.1522,1501,0.8752,0,0
55,2012,46131,0,0,0,5,7,0,12,12,0,0,0,3,0,0,0,5,8,8,609708,FOREMAN HS,Edwin G Foreman High School,1572,243,0.1546,268,0.1705,1277,0.8123,0,0
56,2013,46131,0,0,0,2,5,0,7,7,0,0,0,3,0,0,0,4,7,7,609708,FOREMAN HS,Edwin G Foreman High School,1507,263,0.174518911745189,240,0.159256801592568,1417,0.940278699402787,0,0
