,Unnamed: 0_x,Unnamed: 0.1,Year,Dept/Unit Number,Job Title_Chief Safety & Security OFF,Job Title_Flex Team Security Officer,Job Title_Safety And Security Off,Job Title_School Security Officer,Job Title_Senior School Security Officer,Job Title_Senior Security Officer,Total Security,Total Security_Filled,Job Title_Career Counseling Manager,Job Title_Director of Counseling,"Job Title_Director, School Counseling & Post Secondary Advising",Job Title_Guidance Counselor Assistant,Job Title_HS Counseling Specialist,Job Title_K‐8 Counseling Specialist,Job Title_Manager-Secdry Schl Counselng,Job Title_School Counselor,Total Counseling,Total Counseling_Filled,School ID,pos_name_0,Unit_Number,Notes,Unnamed: 26,Unit Number,Unnamed: 0_y,Unit,School,Total,Bilingual_N,Bilingual_P,IEP_N,IEP_P,Free_Lunch_N,Free_Lunch_P
22,30,1671,2012,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,609987,HENDRICKS,31121,,3930.0,609987,594,609987,Thomas A Hendricks Elementary Community Academy,287.0,3.0,0.0105,25.0,0.0871,277.0,0.9652
23,31,2190,2013,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,609987,HENDRICKS,31121,,3930.0,609987,567,609987,Thomas A Hendricks Elementary Community Academy,271.0,4.0,0.014760147601476013,46.0,0.16974169741697415,264.0,0.9741697416974171
24,32,2706,2014,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,609987,HENDRICKS,31121,,3930.0,609987,577,609987,Thomas A Hendricks Elementary Community Academy,262.0,6.0,0.0229,46.0,0.1756,253.0,0.9656
25,34,631,2010,41051,0,0,0,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,610244,CLARK HS,41051,,6620.0,6620,532,6620,Clark Magnet HS,942.0,2.0,0.002123142250530785,116.0,0.12314225053078555,776.0,0.8237791932059448
26,35,1144,2011,41051,0,0,0,6,0,0,6,6,0,0,0,2,0,0,0,4,6,5,610244,CLARK HS,41051,,6620.0,610244,437,610244,Michele Clark Academic Prep Magnet High School,733.0,0.0,0.0,93.0,0.1269,693.0,0.9454
27,36,1688,2012,41051,0,0,0,8,1,0,9,6,0,0,0,2,0,0,0,2,4,4,610244,CLARK HS,41051,,6620.0,610244,439,610244,Michele Clark Academic Prep Magnet High School,574.0,1.0,0.0017,75.0,0.1307,555.0,0.9669
28,37,2207,2013,41051,0,0,0,8,1,0,9,9,0,0,0,1,0,0,0,1,2,2,610244,CLARK HS,41051,,6620.0,610244,415,610244,Michele Clark Academic Prep Magnet High School,499.0,0.0,0.0,65.0,0.13026052104208416,490.0,0.9819639278557114
29,38,2722,2014,41051,0,0,0,7,2,0,9,8,0,0,0,0,0,0,0,1,1,0,610244,CLARK HS,41051,,6620.0,610244,422,610244,Michele Clark Academic Prep Magnet High School,511.0,0.0,0.0,63.0,0.1233,506.0,0.9902
30,40,632,2010,41061,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,2,2,610245,DOUGLASS HS,41061,,6630.0,6630,533,6630,Douglass HS,383.0,,,87.0,0.22715404699738906,369.0,0.9634464751958224
31,41,1145,2011,41061,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,1,2,1,610245,DOUGLASS HS,41061,,6630.0,610245,220,610245,Frederick A Douglass Academy High School,354.0,0.0,0.0,77.0,0.2175,353.0,0.9972
32,42,1689,2012,41061,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,1,2,2,610245,DOUGLASS HS,41061,,6630.0,610245,220,610245,Frederick A Douglass Academy High School,316.0,1.0,0.0032,64.0,0.2025,316.0,1.0
33,43,2208,2013,41061,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,1,2,2,610245,DOUGLASS HS,41061,,6630.0,610245,207,610245,Frederick A Douglass Academy High School,291.0,1.0,0.003436426116838488,67.0,0.2302405498281787,209.0,0.718213058419244
34,44,2723,2014,41061,0,0,0,2,1,0,3,2,0,0,0,1,0,0,0,1,2,2,610245,DOUGLASS HS,41061,,6630.0,610245,208,610245,Frederick A Douglass Academy High School,243.0,2.0,0.0082,61.0,0.251,236.0,0.9712
35,46,2214,2013,45221,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,3,3,610390,RICKOVER MILITARY HS,45221,,7140.0,610390,259,610390,Hyman G Rickover Naval Academy High School,507.0,5.0,0.009861932938856016,42.0,0.08284023668639054,432.0,0.8520710059171598
36,47,2729,2014,45221,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,3,3,610390,RICKOVER MILITARY HS,45221,,7140.0,610390,261,610390,Hyman G Rickover Naval Academy High School,553.0,22.0,0.0398,46.0,0.0832,481.0,0.8698
37,49,645,2010,46031,0,0,0,4,0,0,4,4,0,0,0,2,0,0,0,0,2,2,609695,AMUNDSEN HS,46031,,1210.0,1210,24,1210,Amundsen HS,1645.0,186.0,0.11306990881458967,251.0,0.15258358662613986,1249.0,0.7592705167173253
38,50,1156,2011,46031,0,0,0,4,0,0,4,4,0,0,0,2,0,0,0,5,7,7,609695,AMUNDSEN HS,46031,,1210.0,609695,541,609695,Roald Amundsen High School,1535.0,177.0,0.1153,232.0,0.1511,1438.0,0.9368
39,51,1701,2012,46031,0,0,0,4,7,0,11,11,0,0,0,2,0,0,0,4,6,6,609695,AMUNDSEN HS,46031,,1210.0,609695,540,609695,Roald Amundsen High School,1434.0,172.0,0.1199,211.0,0.1471,1344.0,0.9372
40,52,2217,2013,46031,0,0,0,7,0,0,7,7,0,0,0,2,0,0,0,4,6,6,609695,AMUNDSEN HS,46031,,1210.0,609695,516,609695,Roald Amundsen High School,1266.0,133.0,0.10505529225908374,168.0,0.13270142180094788,1172.0,0.9257503949447078
