,Unnamed: 0,Unnamed: 0_x,Unnamed: 0.1,Year,Dept/Unit Number,Job Title_Chief Safety & Security OFF,Job Title_Flex Team Security Officer,Job Title_Safety And Security Off,Job Title_School Security Officer,Job Title_Senior School Security Officer,Job Title_Senior Security Officer,Total Security,Total Security_Filled,Job Title_Career Counseling Manager,Job Title_Director of Counseling,"Job Title_Director, School Counseling & Post Secondary Advising",Job Title_Guidance Counselor Assistant,Job Title_HS Counseling Specialist,Job Title_K‐8 Counseling Specialist,Job Title_Manager-Secdry Schl Counselng,Job Title_School Counselor,Total Counseling,Total Counseling_Filled,School ID,pos_name_0,Unit_Number,Notes,Unnamed: 26,Unit Number,Unnamed: 0_y,Unit,School_x,Total_x,Bilingual_N,Bilingual_P,IEP_N,IEP_P,Free_Lunch_N,Free_Lunch_P,School Name_x,Status as of 2014,Status as of 2019,Attendance,5YR Grad Rate,School_y,Total_y,White No,White Pct,African American No,African American Pct,Native American/Alaskan No,Native American/Alaskan Pct,Asian/Pacific Islander No,Asian/Pacific Islander Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian/Pacific Islander No,Hawaiian/Pacific Islander Pct,Not Available No,Not Available Pct,School Name_y,School Year,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,ISS per 100 Students,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,OSS per 100 Students,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,Police Notifications per 100 Students,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification,# of Students Expelled,Expulsions per 100 Students
10,10,16,460,2011,25301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,610167,SEWARD,25301,,5820.0,5820,459,5820,Seward,872.0,262.0,0.30045871559633025,76.0,0.0871559633027523,839.0,0.9621559633027524,SEWARD,,,95.7,,Seward,872.0,8.0,0.9,4.0,0.5,0.0,0.0,0.0,0.0,846.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,17,975,2012,25301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,610167,SEWARD,25301,,5820.0,610167,662,610167,William H Seward Communication Arts Academy ES,893.0,389.0,0.4356,80.0,0.0896,827.0,0.9261,SEWARD,,,96.1,,Seward,893.0,9.0,1.0,4.0,0.4,1.0,0.1,0.0,0.0,835.0,93.5,0.0,0.0,1.0,0.1,0.0,0.0,43.0,4.8,SEWARD,2012.0,101.0,10.0,74.0,17.0,78.0,77.2,55.0,54.5,6.2,38.0,4.3,2.56,23.0,22.8,2.59,17.0,1.9,4.17,2.0,2.0,0.23,2.0,0.2,1.0,0.11
12,12,18,1501,2013,25301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,610167,SEWARD,25301,,5820.0,610167,660,610167,William H Seward Communication Arts Academy ES,854.0,370.0,0.4333,74.0,0.0867,783.0,0.9169,SEWARD,,,95.8,,Seward,854.0,10.0,1.2,4.0,0.5,1.0,0.1,0.0,0.0,838.0,98.1,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,SEWARD,2013.0,26.0,5.0,18.0,3.0,20.0,76.9,18.0,69.2,2.12,17.0,2.0,2.22,2.0,7.7,0.24,2.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,19,2048,2014,25301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,610167,SEWARD,25301,,5820.0,610167,631,610167,William H Seward Communication Arts Academy ES,849.0,384.0,0.4522968197879858,74.0,0.08716136631330977,843.0,0.9929328621908128,SEWARD,,,96.1,,,849.0,10.0,1.2,4.0,0.5,0.0,0.0,0.0,0.0,834.0,98.2,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,SEWARD,2014.0,48.0,5.0,31.0,12.0,48.0,100.0,44.0,91.7,5.25,39.0,4.7,1.82,4.0,8.3,0.48,4.0,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,20,2566,2015,25301,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,610167,SEWARD,25301,,5820.0,610167,640,610167,William H Seward Communication Arts Academy ES,817.0,342.0,0.4186,79.0,0.0967,816.0,0.9988,SEWARD,,,96.1,,SEWARD,817.0,11.0,1.3,5.0,0.6,0.0,0.0,0.0,0.0,800.0,97.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,SEWARD,2015.0,30.0,16.0,13.0,1.0,12.0,40.0,11.0,36.7,1.34,9.0,1.1,2.18,1.0,3.3,0.12,1.0,0.1,5.0,1.0,3.3,0.12,1.0,0.1,0.0,0.0
15,15,22,550,2011,26861,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,610394,UPLIFT HS,26861,,2210.0,2210,119,2210,Uplift Community HS,520.0,17.0,0.032692307692307694,66.0,0.12692307692307692,476.0,0.9153846153846154,UPLIFT HS,,,88.7,59.5,Uplift Community HS,520.0,11.0,2.1,416.0,80.0,2.0,0.4,0.0,0.0,68.0,13.1,4.0,0.8,18.0,3.5,1.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,23,1065,2012,26861,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,3,2,610394,UPLIFT HS,26861,,2210.0,610394,620,610394,Uplift Community High School,471.0,21.0,0.0446,54.0,0.1146,450.0,0.9554,UPLIFT HS,,,90.3,69.8,Uplift Community HS,471.0,7.0,1.5,383.0,81.3,1.0,0.2,0.0,0.0,53.0,11.3,7.0,1.5,19.0,4.0,1.0,0.2,0.0,0.0,UPLIFT HS,2012.0,532.0,248.0,264.0,20.0,247.0,46.4,11.0,2.1,2.44,10.0,2.2,1.27,236.0,44.4,52.44,118.0,26.2,3.13,5.0,0.9,1.11,5.0,1.1,0.0,0.0
17,17,24,1600,2013,26861,0,0,0,1,3,0,4,4,0,0,0,1,0,0,0,1,2,1,610394,UPLIFT HS,26861,,2210.0,610394,620,610394,Uplift Community High School,411.0,25.0,0.0608,67.0,0.163,378.0,0.9197,UPLIFT HS,,,86.9,84.2,Uplift Community HS,411.0,9.0,2.2,346.0,84.2,0.0,0.0,0.0,0.0,37.0,9.0,9.0,2.2,10.0,2.4,0.0,0.0,0.0,0.0,UPLIFT HS,2013.0,336.0,14.0,270.0,52.0,325.0,96.7,12.0,3.6,3.07,11.0,2.8,1.17,313.0,93.2,80.05,146.0,37.3,2.85,29.0,8.6,7.42,21.0,5.4,0.0,0.0
18,18,25,2135,2014,26861,0,0,0,1,3,0,4,4,0,0,0,0,0,0,0,1,1,1,610394,UPLIFT HS,26861,,2210.0,610394,595,610394,Uplift Community High School,354.0,19.0,0.05367231638418079,79.0,0.2231638418079096,336.0,0.9491525423728814,UPLIFT HS,,,88.3,77.6,,354.0,10.0,2.8,285.0,80.5,0.0,0.0,0.0,0.0,42.0,11.9,7.0,2.0,8.0,2.3,0.0,0.0,2.0,0.6,UPLIFT HS,2014.0,670.0,466.0,186.0,18.0,334.0,49.9,167.0,24.9,51.63,76.0,23.5,1.0,167.0,24.9,51.63,78.0,24.1,2.57,13.0,1.9,4.02,11.0,3.4,0.0,0.0
19,19,26,2651,2015,26861,0,0,0,1,2,0,3,3,0,0,0,0,0,0,0,1,1,1,610394,UPLIFT HS,26861,,2210.0,610394,605,610394,Uplift Community High School,326.0,18.0,0.0552,85.0,0.2607,313.0,0.9601,UPLIFT HS,,,90.2,80.6,UPLIFT HS,326.0,8.0,2.5,268.0,82.2,0.0,0.0,0.0,0.0,36.0,11.0,8.0,2.5,6.0,1.8,0.0,0.0,0.0,0.0,UPLIFT HS,2015.0,627.0,359.0,230.0,38.0,331.0,52.8,263.0,41.9,83.86,106.0,33.8,1.07,68.0,10.8,21.68,43.0,13.7,2.88,1.0,0.2,0.32,1.0,0.3,0.0,0.0
